removed_pcs,mae,mae_mm,rmse_mm
0.0,0.0608510263084855,0.2738296183881851,0.4984094023301212
64.0,0.0665690467962941,0.2995607105833237,0.5246851212693808
128.0,0.065861689711093,0.2963776036999189,0.5263610020135486
192.0,0.0586181525094219,0.2937816862923986,0.4845172234344893
224.0,0.0633203744860227,0.3049416851871024,0.5037824872688782
232.0,0.07865951890814998,0.35396783508667495,0.5772925942854783
240.0,0.1031854720508702,0.4643346242289161,0.7188925669223819
244.0,0.1286222069958374,0.5787999314812683,0.8241493897541698
248.0,0.1780552389564418,0.8012485753039881,1.0696225277901892
250.0,0.18865410601107288,0.848943477049828,1.108913358690589
252.0,0.2089528477968629,0.9402878150858832,1.2102890241647235
254.0,0.2025632482747579,0.9115346172364108,1.1023123761857714
