experiment,cnn,cnn_size,transformer,n_trans_layer,projected_dim,pos_encoding,mae_mm,unseen_mae_mm,model_params_count,model_size
default,True,"[64, 128]",True,4,128,True,0.286039985197311,1.296226104011404,3372292,38.82670497894287
no_transformer,True,"[64, 128]",False,4,128,False,0.4379149479734239,2.0458574894177195,2180868,24.999897956848145
no_cnn,False,"[64, 128]",True,4,128,True,0.3443431371277423,1.3765752066486068,3037700,34.98776817321777
no_pos,True,"[64, 128]",True,4,128,False,0.3073975260132049,1.3526686749785908,3370244,38.802475929260254
smaller_cnn,True,"[32, 64]",True,4,128,True,0.3386278868009552,1.2880020893834905,3185540,36.68949508666992
bigger_cnn,True,"[128, 256]",True,4,128,True,0.2896724204357651,1.314155840590563,3856388,44.366886138916016
two_transformer_blocks,True,"[64, 128]",True,2,128,True,0.3266079134122184,1.346795484581566,2777604,31.926176071166992
six_transformer_blocks,True,"[64, 128]",True,6,128,True,0.9314423773571882,1.4213883741331013,3966980,45.731075286865234
projected_dim_64,True,"[64, 128]",True,4,64,True,0.2970254156697454,1.3074222208607644,1461956,16.96473503112793
projected_dim_256,True,"[64, 128]",True,4,256,True,0.9339662697184746,1.41469066659606,8765828,100.5510025024414
small_default,True,"[32, 64]",True,2,64,True,0.3234112004360942,1.3475653108774306,1174340,13.578251838684082
big_default,True,"[128, 256]",True,6,256,True,0.9295996015263328,1.4211719561205929,11749764,134.79798412322998
