missing_sensors,leds_removed,pds_removed,mae_LED,mae_mm_LED,rmse_mm_LED,mae_PD,mae_mm_PD,rmse_mm_PD,mae_both,mae_mm_both,rmse_mm_both
0,[],[],0.06118807715839447,0.2753463472127751,0.5005106851911808,0.06317353146854542,0.2842808916084544,0.5104306993536885,0.06984980184928892,0.31432410832180013,0.512826935691103
1,[4],[15],0.06371753512740388,0.28672890807331747,0.49452877471436113,0.07385705436051254,0.33235674462230647,0.5603692733484201,0.07351046162210062,0.3307970772994528,0.5530360066594764
2,"[5, 2]","[6, 4]",0.06488588229563787,0.2919864703303704,0.5043933346495377,0.07818054980466095,0.3518124741209743,0.539227940943344,0.07757404337919663,0.3490831952063848,0.5511378166360491
3,"[4, 15, 11]","[3, 1, 6]",0.06627414604849179,0.29823365721821304,0.5206653803442319,0.0834365829641037,0.37546462333846664,0.5790093757665601,0.09073076237690061,0.40828843069605275,0.6033488189654762
4,"[12, 13, 7, 9]","[0, 8, 6, 2]",0.07525776264831566,0.33865993191742044,0.5248652873114291,0.0847578571843272,0.38141035732947237,0.5983369422776764,0.09181100960063521,0.4131495432028584,0.6190456026624125
5,"[11, 7, 6, 3, 15]","[3, 7, 4, 5, 1]",0.07574726709021362,0.3408627019059613,0.5303531361337179,0.09341344094121265,0.4203604842354569,0.6328878312117516,0.10574915442560018,0.4758711949152008,0.6838293300232899
6,"[15, 2, 9, 13, 10, 5]","[12, 11, 1, 15, 14, 13]",0.07839702955559637,0.35278663300018365,0.5759068963506432,0.1409548906633684,0.6342970079851578,0.8562793193111813,0.14378798764342646,0.6470459443954191,0.8813683304903508
7,"[1, 11, 6, 3, 14, 15, 13]","[8, 1, 4, 2, 15, 3, 9]",0.08486648491463437,0.38189918211585466,0.5792393899806448,0.12035208852596302,0.5415843983668336,0.7927136708379654,0.13375496758043184,0.6018973541119433,0.8261792056209932
8,"[8, 9, 12, 10, 11, 2, 15, 0]","[14, 9, 2, 13, 1, 8, 11, 15]",0.08397974072161966,0.37790883324728847,0.588805589390793,0.14082338422427673,0.6337052290092453,0.8467640104796361,0.15100985018436053,0.6795443258296223,0.8997475238316416
9,"[5, 12, 6, 15, 10, 4, 0, 8, 2]","[10, 9, 14, 1, 0, 12, 13, 3, 15]",0.07286137977039539,0.32787620896677927,0.5269890939580615,0.1442777580196762,0.6492499110885429,0.8697496838931462,0.14637646952618744,0.6586941128678434,0.8836885429757639
10,"[13, 5, 6, 10, 11, 0, 15, 1, 4, 8]","[11, 0, 2, 3, 13, 10, 15, 4, 12, 9]",0.08354495801551631,0.3759523110698234,0.5808507426484434,0.14963018428475594,0.6733358292814018,0.8907906888608046,0.16071788125452569,0.7232304656453655,0.9395380569453796
11,"[2, 7, 3, 11, 0, 9, 8, 4, 13, 12, 6]","[8, 5, 4, 15, 1, 10, 13, 9, 6, 12, 2]",0.1023422019062298,0.46053990857803406,0.6562966930474272,0.14384001089237916,0.6472800490157062,0.8850031754547311,0.16068040644916418,0.7230618290212388,0.9362376451633706
12,"[8, 10, 7, 0, 2, 13, 9, 3, 4, 5, 14, 15]","[15, 6, 8, 1, 4, 10, 9, 11, 14, 7, 5, 13]",0.10272763598307462,0.4622743619238358,0.6811155499247918,0.17102229395599858,0.7696003228019936,0.9919234973822294,0.2099155332281713,0.9446198995267708,1.1209656454010541
13,"[3, 7, 11, 9, 8, 1, 13, 4, 2, 10, 0, 5, 12]","[12, 8, 2, 6, 1, 11, 9, 10, 15, 7, 4, 14, 13]",0.10925796219052267,0.491660829857352,0.6916433872516006,0.18374844939963408,0.8268680222983533,1.0315808034855531,0.2012668766295979,0.9057009448331906,1.0887439916297283
14,"[12, 2, 10, 14, 3, 1, 7, 9, 4, 11, 6, 5, 0, 15]","[4, 7, 0, 3, 8, 1, 13, 5, 10, 15, 6, 12, 2, 9]",0.1217281490760806,0.5477766708423627,0.760942745768034,0.18099337555334846,0.814470189990068,1.029140446494803,0.20189906606041663,0.9085457972718749,1.0957498119798519
15,"[14, 10, 6, 3, 8, 11, 2, 5, 0, 7, 4, 1, 12, 15, 9]","[5, 15, 14, 12, 8, 10, 13, 1, 11, 4, 3, 2, 7, 6, 0]",0.1358156510762778,0.6111704298432501,0.8532815935409663,0.20072927105492847,0.9032817197471781,1.0912842448955955,0.20927318621886704,0.9417293379849017,1.1196393300507097
