missing_sensors,leds_removed,pds_removed,mae_pos_LED,mae_force_LED,mae_pos_PD,mae_force_PD,mae_pos_both,mae_force_both
0,[],[],0.14143263702003406,0.006478152121562895,0.1337155763304967,0.006533803502714975,0.14283121555040393,0.007120031719226351
1,[6],[11],0.13295423702288245,0.007086454812720894,0.13451716800560035,0.0071955589294436404,0.14225669853858391,0.006727667254674689
2,"[4, 10]","[14, 13]",0.14785388661470872,0.006412594853973608,0.16000601439354112,0.006679895929217847,0.1494808940560675,0.007834144674180756
3,"[9, 2, 1]","[14, 13, 3]",0.14040325207624332,0.0068572708276871805,0.1368454777670344,0.007211217905414164,0.1406191303863405,0.007766397583630864
4,"[8, 4, 12, 7]","[15, 7, 6, 1]",0.14326513301788726,0.00652167087864016,0.13509019592294189,0.0068604435145674545,0.15903706358223146,0.006375667541252906
5,"[4, 11, 15, 2, 3]","[2, 14, 7, 6, 5]",0.1663075415948828,0.007956138384245578,0.12195205545066479,0.006593784327381507,0.13437295529858895,0.006932370776300606
6,"[0, 1, 7, 8, 15, 10]","[7, 12, 13, 6, 15, 10]",0.14779635598900753,0.006335128601975816,0.1718592445181198,0.006681353105272422,0.15450885735100292,0.0075136919670431125
7,"[8, 14, 7, 9, 1, 10, 3]","[6, 15, 10, 14, 8, 2, 9]",0.1368475423128879,0.007400739085971748,0.14115218599870527,0.0067496085006678395,0.16551386032355253,0.006834371919270658
8,"[10, 3, 15, 0, 12, 13, 2, 5]","[2, 9, 14, 15, 5, 10, 11, 4]",0.1525195149365495,0.0070747546944729305,0.12735101704375007,0.007129622221428074,0.15591001374316757,0.00765036939188686
9,"[13, 0, 3, 5, 11, 10, 1, 9, 2]","[2, 4, 12, 3, 14, 6, 15, 8, 9]",0.13826684165012576,0.007795488721009013,0.15083261124242978,0.007243194614234864,0.13320361957617324,0.007673850322922921
10,"[2, 3, 9, 14, 8, 10, 15, 6, 12, 11]","[8, 1, 9, 15, 0, 4, 14, 7, 13, 3]",0.14707655151137428,0.006724976348949951,0.1822028840139894,0.007222209937999472,0.21302105864399087,0.008787776329028728
11,"[10, 14, 0, 7, 8, 13, 11, 1, 12, 5, 9]","[12, 4, 2, 13, 15, 8, 7, 14, 5, 3, 0]",0.13662143112344133,0.0074478003381192506,0.1622199197763294,0.0072732752490808185,0.22370175248939173,0.0082469172446043
12,"[15, 13, 9, 11, 5, 8, 1, 7, 4, 3, 0, 10]","[5, 1, 7, 8, 9, 15, 2, 6, 3, 11, 13, 14]",0.12984053782313457,0.00768315381864953,0.1727780010035466,0.008160631443077937,0.27172394255593124,0.010666805743999874
13,"[8, 4, 9, 11, 12, 10, 1, 13, 14, 7, 3, 6, 0]","[8, 3, 11, 12, 14, 6, 9, 5, 2, 0, 4, 1, 7]",0.1472901948593322,0.007579901495538088,0.14908612532552296,0.009739632280290657,0.22912555081734273,0.0135996587970568
14,"[13, 14, 0, 1, 15, 7, 2, 3, 4, 10, 8, 11, 5, 12]","[14, 15, 13, 4, 0, 7, 3, 1, 9, 12, 5, 11, 8, 6]",0.23613915502481955,0.00926010621731706,0.1945061036356975,0.00881816517665284,0.37132169721080865,0.013744777687539405
15,"[1, 8, 0, 3, 6, 11, 15, 5, 2, 9, 7, 13, 12, 4, 14]","[2, 11, 9, 3, 13, 14, 4, 0, 6, 7, 15, 5, 1, 12, 8]",0.263853180132433,0.011334810924180557,0.25583816823492583,0.014188641381662844,0.91011726991678,0.030982991382914382
